ID,lat,lon,workload,conn
525,31.060038,121.195223,7498,3
526,31.06054,121.2745,1127,5
527,31.060659,121.399957,2236,4
528,31.06171,121.7715,1195,1
529,31.062583,121.44986,2928,2
530,31.06288,121.7442,1060,4
531,31.063518,121.215539,396,1
532,31.06392,121.3531,4202,4
533,31.064763,121.396913,2492,9
534,31.06521,121.8034,7128,6
535,31.065995,121.314532,1953,8
536,31.06623,121.3219,10790,13
537,31.066368,121.2082,10560,9
538,31.06724,121.7621,4506,3
539,31.068209,121.373076,6031,3
540,31.06863,121.1083,4712,3
541,31.069261,121.375484,6777,4
542,31.06954,120.9286,158,2
543,31.069676,121.773361,9875,2
544,31.06976,121.3998,11562,5
545,31.069946,121.719641,11125,4
546,31.070388,121.532962,8110,7
547,31.07039,121.5203,8157,5
548,31.07043,121.4672,3664,1
549,31.07195,121.150279,10561,6
550,31.07196,121.2345,5499,4
551,31.072138,121.661831,4636,5
552,31.07221,121.6589,8042,4
553,31.07252,121.404373,191,5
554,31.07306,120.9706,6793,3
555,31.073134,121.317814,8540,11
556,31.07371,121.6807,3718,3
557,31.074013,121.407487,6478,4
558,31.07481,121.7135,4442,2
559,31.075231,121.436269,9358,3
560,31.07783,121.3398,10736,11
561,31.078365,121.404647,7706,3
562,31.07856,121.5646,3145,4
563,31.078791,121.422082,10925,7
564,31.08,121.7984,2167,3
565,31.080824,121.390896,8480,4
566,31.08093,121.1593,3982,4
567,31.08111,121.263537,11569,4
568,31.08148,121.5233,12656,6
569,31.081917,121.062248,3157,12
570,31.08256,121.4301,2238,1
571,31.082614,121.523874,2886,3
572,31.0827,121.4487,10560,4
573,31.084634,120.989297,19,0
574,31.08515,121.5891,8678,6
575,31.085245,121.533086,1,0
576,31.08532,121.237,3278,4
577,31.085713,120.966216,986,3
578,31.08614,121.5071,7071,4
579,31.086916,121.387535,8973,8
580,31.08705,121.5036,2240,4
581,31.087108,121.371206,2360,1
582,31.0872,121.5054,738,1
583,31.087224,121.466989,2874,1
584,31.08731,121.2755,7258,4
585,31.087507,121.398717,8865,2
586,31.0881,121.4301,7567,6
587,31.0887,121.513069,2638,1
588,31.0888,121.5366,1800,4
589,31.08906,121.722984,3321,7
590,31.09008,121.407,6060,4
591,31.091117,121.549904,435,1
592,31.09201,121.3957,1272,2
593,31.092058,121.38753,10133,13
594,31.0923,120.9122,229,6
595,31.094143,121.488864,5450,3
