ID,latitude,longitude,UserAccessTime(min),UserAccessNum,worktime(min)
1046,31.189366,121.443482,1477.1166666666666,26,860.9666666666667
1047,31.189701,121.543143,20555.933333333334,228,7539.233333333334
1048,31.189723,121.356104,276.8666666666667,2,276.8666666666667
1049,31.189816,121.430881,111.18333333333334,10,43.63333333333333
1050,31.189897,121.354305,35.083333333333336,1,35.083333333333336
1051,31.190103,121.485774,758.6833333333333,25,469.95
1052,31.190168,121.467092,4842.65,141,2954.7166666666667
1053,31.190185,121.443475,82796.71666666666,511,10662.116666666667
1054,31.190301,121.566862,46874.166666666664,465,10447.783333333333
1055,31.190389,121.457678,35598.0,435,10188.15
1056,31.190483,121.434806,3275.0,41,1525.2
1057,31.19053,121.445372,83.46666666666667,7,53.56666666666667
1058,31.190828,121.420662,491.96666666666664,13,291.8833333333333
1059,31.190941,121.420437,3.533333333333333,2,1.7666666666666666
1060,31.19107,121.554321,42968.066666666666,406,7490.85
1061,31.191178,121.46648,694.9333333333333,4,347.46666666666664
1062,31.19124,121.507961,3322.3166666666666,112,1347.5166666666667
1063,31.19143,121.411411,28469.016666666666,506,6870.55
1064,31.191496,121.41093,2210.766666666667,96,1757.7
1065,31.191674,121.699103,46625.76666666667,377,6935.966666666666
1066,31.1917,121.440205,21.233333333333334,16,21.233333333333334
1067,31.191702,121.449143,1157.35,20,792.3666666666667
1068,31.191797,121.442896,1.9,1,1.9
1069,31.191818,121.538713,10494.316666666668,132,4668.166666666667
1070,31.19183,121.59097,23998.45,201,6380.516666666666
1071,31.191847,121.381117,44789.86666666667,521,7178.3
1072,31.19206,121.438501,13801.6,208,6627.816666666667
