ID,lat,lon,workload,conn
534,31.191702,121.449143,792,3
535,31.191818,121.538713,4668,3
536,31.191847,121.381117,7178,7
537,31.192182,121.466139,375,6
538,31.19232,121.142889,4258,6
539,31.1924,121.7482,52,6
540,31.192915,121.682688,7319,7
541,31.192975,121.449755,9820,4
542,31.193331,121.599017,639,2
543,31.193515,121.531662,1001,4
544,31.193643,121.402511,3903,3
545,31.193686,121.423417,2460,2
546,31.193811,121.373792,2139,2
547,31.194107,121.399831,668,1
548,31.194364,121.400164,77,2
549,31.19458,121.436178,4169,5
550,31.194792,121.466884,5277,2
551,31.195131,121.418788,5608,6
552,31.195321,121.445546,1221,4
553,31.195613,121.40425,5348,4
554,31.195642,121.446626,234,4
555,31.195709,121.424093,2007,4
556,31.195887,121.591747,299,12
557,31.19601,121.444227,454,2
558,31.19622,121.468181,259,13
559,31.196602,121.461665,567,8
560,31.197034,121.391103,82,6
561,31.197114,121.442853,9038,5
562,31.197367,121.479142,7,0
563,31.19757,121.454,3117,6
564,31.197656,121.463533,9640,3
565,31.198048,121.604048,9933,7
566,31.198113,121.590353,2146,2
567,31.198268,121.383605,397,2
568,31.198372,121.355749,2954,3
569,31.19868,121.485666,3294,3
570,31.198836,121.215066,8988,6
571,31.19895,121.5161,289,6
572,31.19907,121.517372,473,1
573,31.199128,121.540588,6,0
574,31.19927,121.6228,469,2
575,31.199535,121.456715,813,2
576,31.19979,121.389906,2200,2
577,31.200224,121.316463,4370,5
578,31.20025,121.4744,2383,3
579,31.200428,121.437655,3257,2
580,31.200668,121.480775,194,4
581,31.200779,121.533917,48,0
582,31.200811,121.444401,6893,4
583,31.200875,121.481499,1,0
584,31.201009,121.610969,1501,2
585,31.201121,121.445016,1125,1
586,31.201251,121.561484,9919,4
587,31.201279,121.709485,12169,9
588,31.201321,121.404211,3777,3
589,31.20172,121.743118,3187,3
590,31.201959,121.61095,249,3
591,31.20197,121.4525,8573,5
592,31.202075,121.187355,6755,11
593,31.202118,121.395128,4674,5
594,31.202395,121.6278,12761,7
595,31.202912,121.712449,4827,3
596,31.203031,121.443586,5762,5
597,31.203225,121.399229,17,0
598,31.203422,121.526246,220,5
599,31.203552,121.371544,6993,2
600,31.20367,121.543991,633,2
601,31.203911,121.590509,44,0
602,31.203981,121.483421,845,2
603,31.204036,121.437644,207,8
604,31.204179,121.538588,6369,6
605,31.204343,121.407018,5478,3
606,31.204601,121.484087,547,8
607,31.204763,121.526768,1235,4
608,31.205115,121.492127,53,3
609,31.205813,121.413544,4807,4
610,31.206089,121.105074,952,4
611,31.206201,121.085991,698,3
612,31.206547,121.306923,7924,10
613,31.206668,121.449678,1001,4
614,31.20694,121.459659,1823,5
615,31.207094,121.713617,244,3
616,31.207139,121.449578,2501,4
617,31.207247,121.572933,1907,4
618,31.207348,121.70185,4787,4
619,31.2077,121.669382,9540,6
620,31.208153,121.41083,134,8
621,31.208384,121.466365,9002,5
622,31.208589,121.524447,3619,3
623,31.209025,121.616514,9175,10
624,31.20918,121.7524,3054,4
625,31.209344,121.414036,68,3
626,31.209454,121.524245,162,2
627,31.209598,121.437679,179,1
628,31.209704,121.368486,2684,4
629,31.209872,121.409627,1120,2
630,31.209905,121.37472,7328,7
631,31.209934,121.604472,939,6
632,31.210053,121.464569,232,4
633,31.210354,121.595268,714,7
634,31.21058,121.3846,2406,4
635,31.2106,121.411728,477,3
636,31.210657,121.474053,130,6
637,31.210887,121.315496,1249,4
638,31.211021,121.569582,248,1
639,31.211107,121.59082,7463,3
640,31.21134,121.4138,2242,5
641,31.2114,121.476689,140,6
642,31.211492,121.571765,1210,3
643,31.211574,121.366182,6985,9
644,31.211598,121.439406,6200,4
645,31.211634,121.520845,3691,2
646,31.211757,121.46438,77,2
647,31.211781,121.405437,601,6
648,31.212027,121.491516,614,4
649,31.212113,121.444193,5550,3
650,31.21245,121.637072,1945,1
651,31.212718,121.447853,8069,5
652,31.213015,121.547755,7196,2
653,31.21309,121.531691,928,2
654,31.213332,121.619545,69,3
655,31.21351,121.3728,179,1
656,31.213582,121.38377,480,4
657,31.21366,121.4551,81,3
658,31.213728,121.386102,11283,7
659,31.213903,121.410198,1559,4
660,31.214115,121.406884,3134,4
661,31.214209,121.659493,7456,4
662,31.214561,121.298904,11776,5
663,31.214641,121.525998,619,4
664,31.214689,121.426655,384,5
665,31.214741,121.427168,244,3
666,31.214958,121.527054,5451,4
667,31.215028,121.438872,22,0
668,31.215246,121.604329,8895,6
669,31.215347,121.134685,2192,4
670,31.215381,121.439262,7083,3
671,31.215664,121.46829,7842,7
672,31.216092,121.508679,740,5
673,31.216269,121.435171,55,9
674,31.216371,121.601926,8329,5
675,31.216472,121.413336,26,0
676,31.21653,121.3268,5095,3
677,31.216659,121.391301,868,4
678,31.216686,121.493011,1159,3
679,31.217037,121.43649,299,3
680,31.217074,121.510123,5428,6
681,31.217217,121.558644,13,0
682,31.217249,121.504369,1382,3
683,31.217315,121.635295,3284,4
684,31.217372,121.460724,5849,8
685,31.217512,121.533844,3801,3
686,31.21759,121.40829,142,5
687,31.217682,121.499709,6240,4
688,31.217968,121.41467,10012,4
689,31.218016,121.568018,3435,2
690,31.218201,121.487151,10103,8
691,31.21852,121.4637,1243,6
692,31.218812,121.401309,5411,4
693,31.218858,121.465451,41,0
694,31.21899,121.492002,319,4
695,31.219114,121.423499,8293,6
696,31.219239,121.418564,2149,10
697,31.219455,121.098597,4239,6
698,31.219533,121.427561,286,3
699,31.219656,121.49234,119,6
700,31.219945,121.285654,9155,5
701,31.220133,121.471187,990,6
702,31.220416,121.529149,7273,4
703,31.220434,121.408625,4664,3
704,31.220745,121.438858,173,5
705,31.221001,121.731159,6043,5
706,31.221201,121.497347,2077,6
707,31.221319,121.166272,372,7
708,31.221325,121.448881,6809,5
709,31.22135,121.391319,7967,3
710,31.221662,121.539905,5986,9
711,31.221705,121.642288,4476,3
712,31.221876,121.687381,5949,3
713,31.222168,121.378951,3572,4
714,31.222272,121.438997,623,15
715,31.22255,121.440445,4541,5
716,31.222609,121.378494,177,8
717,31.22278,121.450373,1781,3
718,31.223017,121.465143,1052,2
719,31.223114,121.522857,2810,3
720,31.223134,121.43817,20,0
721,31.223297,121.430839,720,3
722,31.223367,121.46595,56,1
723,31.223446,121.432052,153,2
724,31.223665,121.458791,9804,3
725,31.223981,121.478274,3842,4
726,31.224117,121.4732,3242,3
727,31.224154,121.43807,2126,4
728,31.224373,121.364172,7093,6
729,31.224391,121.489143,0,0
730,31.224487,121.452917,333,3
731,31.22455,121.4825,1346,4
732,31.224718,121.344451,4409,4
733,31.224758,121.446392,63,14
734,31.224855,121.480154,318,2
735,31.225207,121.452948,3748,5
736,31.22527,121.4443,9566,11
737,31.225318,121.437806,1322,7
738,31.225653,121.480878,108,14
739,31.225675,121.364645,167,2
740,31.225831,121.412695,4095,5
741,31.22626,121.551311,7,0
742,31.22656,121.4835,1115,1
743,31.226676,121.555069,900,3
744,31.226966,121.53174,10985,9
745,31.22714,121.391029,6749,3
746,31.227165,121.480195,4532,3
747,31.227254,121.402789,1348,5
748,31.227666,121.431017,1157,4
749,31.227795,121.254172,5181,3
750,31.227933,121.45361,5579,6
751,31.228017,121.444777,5062,4
752,31.228282,121.556676,536,1
753,31.228627,121.480756,3377,1
754,31.228726,121.482748,6359,3
755,31.228847,121.338653,6952,3
756,31.228906,121.451142,209,12
757,31.228956,121.481687,45,0
758,31.22903,121.3909,304,1
759,31.229071,121.452449,3296,5
760,31.229148,121.495962,1,0
761,31.229191,121.453189,249,2
762,31.229334,121.368291,7135,5
763,31.22978,121.540987,4,0
764,31.229998,121.538807,1,0
765,31.230201,121.308739,3279,4
766,31.230287,121.557116,11186,11
767,31.230395,121.46599,6464,4
768,31.23041,121.5344,132,4
769,31.230519,121.520449,4,0
770,31.230748,121.485488,3164,2
771,31.23095,121.537305,4,0
772,31.231035,121.555602,158,1
773,31.231119,121.484436,644,2
774,31.231328,121.487479,165,3
775,31.231369,121.403139,4,0
776,31.231468,121.537215,2466,5
777,31.231585,121.517218,1855,6
778,31.231687,121.32576,8127,8
779,31.231749,121.486203,179,1
780,31.232002,121.359292,1697,5
781,31.232268,121.541982,464,1
782,31.232407,121.652986,4509,4
783,31.232527,121.530359,193,3
784,31.232639,121.705254,11188,5
785,31.232729,121.566935,9485,9
786,31.232853,121.486408,844,4
787,31.232877,121.48753,5771,5
788,31.232971,121.47882,7,0
789,31.23301,121.5238,194,3
790,31.233051,121.455285,1774,2
791,31.233107,121.417598,162,3
792,31.233151,121.530498,1464,2
793,31.233201,121.469528,8647,6
794,31.233431,121.471698,10,0
795,31.233516,121.491431,2643,5
796,31.233629,121.532011,3635,4
797,31.233645,121.53018,249,3
798,31.233674,121.498294,8771,5
799,31.233708,121.454373,1330,1
800,31.233973,121.41641,7269,6
801,31.233984,121.524823,9,0
802,31.234093,121.475011,22,0
803,31.234168,121.473173,96,3
804,31.234225,121.525481,43,0
805,31.23423,121.436418,290,2
806,31.234259,121.52572,9378,6
807,31.234496,121.521516,1816,3
808,31.234528,121.528657,120,3
809,31.234688,121.502656,203,5
810,31.234737,121.513936,483,3
811,31.234787,121.498324,272,6
812,31.234835,121.527767,180,2
813,31.234885,121.529933,30,0
814,31.234916,121.447878,8,0
815,31.235072,121.518805,4031,4
816,31.235177,121.451385,1561,3
817,31.235309,121.529189,225,2
818,31.23537,121.522706,2073,4
819,31.23543,121.447652,6099,3
820,31.235454,121.172523,5475,1
821,31.2355,121.4026,152,1
822,31.235554,121.479641,34,0
823,31.235682,121.487831,3243,3
824,31.235908,121.57067,950,1
825,31.23593,121.4497,11540,11
826,31.236009,121.478941,6729,4
827,31.236104,121.375177,6287,4
828,31.236173,121.466734,924,1
829,31.236197,121.485283,2240,1
830,31.23634,121.4909,359,1
831,31.236381,121.484201,2220,6
832,31.236431,121.460781,1,0
833,31.236576,121.465894,581,4
834,31.236728,121.42407,5729,3
835,31.236743,121.36086,2569,2
836,31.236842,121.433815,150,2
837,31.236862,121.355595,3492,3
